mnemonico,imm,dir,indx,indy,ext,inh,rel
aba,0,0,0,0,0,1B,0
abx,0,0,0,0,0,3A,0
aby,0,0,0,0,0,183A,0
adca,89,99,A9,18A9,B9,0,0
adcb,C9,D9,E9,18E9,F9,0,0
adda,8B,9B,AB,18AB,BB,0,0
addb,CB,DB,EB,18EB,FB,0,0
addd,C3,D3,E3,18E3,F3,0,0
anda,84,94,B4,18A4,B4,0,0
andb,C4,D4,E4,18E4,F4,0,0
asl,0,0,68,1868,78,0,0
asla,0,0,0,0,0,48,0
aslb,0,0,0,0,0,58,0
asld,0,0,0,0,0,5,0
asr,0,0,67,1867,77,0,0
asra,0,0,0,0,0,47,0
asrb,0,0,0,0,0,57,0
bcc,0,0,0,0,0,0,24
bclr,0,15,1D,181D,0,0,0
bcs,0,0,0,0,0,0,25
beq,0,0,0,0,0,0,27
bge,0,0,0,0,0,0,2C
bgt,0,0,0,0,0,0,2E
bhi,0,0,0,0,0,0,22
bhs,0,0,0,0,0,0,24
bita,85,95,A5,18A5,B5,0,0
bitb,C5,D5,E5,18E5,F5,0,0
ble,0,0,0,0,0,0,2F
blo,0,0,0,0,0,0,25
bls,0,0,0,0,0,0,23
blt,0,0,0,0,0,0,2D
bmi,0,0,0,0,0,0,2B
bne,0,0,0,0,0,0,26
bpl,0,0,0,0,0,0,2A
bra,0,0,0,0,0,0,20
brclr,0,13,1F,181F,0,0,0
brn,0,0,0,0,0,0,21
brset,0,12,1E,181E,0,0,0
bset,0,14,1C,181C,0,0,0
bsr,0,0,0,0,0,0,8D
bvc,0,0,0,0,0,0,28
bvs,0,0,0,0,0,0,29
cba,0,0,0,0,0,11,0
clc,0,0,0,0,0,0C,0
cli,0,0,0,0,0,0E,0
clr,0,0,6F,186F,7F,0,0
clra,0,0,0,0,0,4F,0
clrb,0,0,0,0,0,5F,0
clv,0,0,0,0,0,0A,0
cmpa,81,91,A1,18A1,B1,0,0
cmpb,C1,D1,E1,18E1,F1,0,0
com,0,0,63,1863,73,0,0
coma,0,0,0,0,0,43,0
comb,0,0,0,0,0,53,0
cpd,1A83,1A93,1AA3,CDA3,1AB3,0,0
cpx,8C,9C,AC,CDAC,BC,0,0
cpy,188C,189C,1AAC,18AC,18BC,0,0
daa,0,0,0,0,0,19,0
dec,0,0,6A,186A,7A,0,0
deca,0,0,0,0,0,4A,0
decb,0,0,0,0,0,5A,0
des,0,0,0,0,0,34,0
dex,0,0,0,0,0,09,0
dey,0,0,0,0,0,1809,0
eora,88,98,A8,18A8,B8,0,0
eorb,C8,D8,E8,18E8,F8,0,0
fdiv,0,0,0,0,0,03,0
idiv,0,0,0,0,0,02,0
inc,0,0,6C,186C,7C,0,0
inca,0,0,0,0,0,4C,0
incb,0,0,0,0,0,5C,0
ins,0,0,0,0,0,31,0
inx,0,0,0,0,0,08,0
iny,0,0,0,0,0,1808,0
jmp,0,0,6E,186E,7E,0,0
jsr,0,9D,AD,18AD,BD,0,0
ldaa,86,96,A6,18A6,B6,0,0
ldab,C6,D6,E6,18E6,F6,0,0
ldd,CC,DC,EC,18EC,FC,0,0
lds,8E,9E,AE,18AE,BE,0,0
ldx,CE,DE,EE,CDEE,FE,0,0
ldy,18CE,18DE,1AEE,18EE,18FE,0,0
lsl,0,0,68,1868,78,0,0
lsla,0,0,0,0,0,48,0
lslb,0,0,0,0,0,58,0
lsld,0,0,0,0,0,05,0
lsr,0,0,64,1864,74,0,0
lsra,0,0,0,0,0,44,0
lsrb,0,0,0,0,0,54,0
lsrd,0,0,0,0,0,04,0
mul,0,0,0,0,0,3D,0
neg,0,0,60,1860,70,0,0
nega,0,0,0,0,0,40,0
negb,0,0,0,0,0,50,0
nop,0,0,0,0,0,01,0
oraa,8A,9A,AA,18AA,BA,0,0
orab,CA,DA,EA,18EA,FA,0,0
psha,0,0,0,0,0,36,0
pshb,0,0,0,0,0,37,0
pshx,0,0,0,0,0,3C,0
pshy,0,0,0,0,0,183C,0
pula,0,0,0,0,0,32,0
pulb,0,0,0,0,0,33,0
pulx,0,0,0,0,0,38,0
puly,0,0,0,0,0,1838,0
rol,0,0,69,1869,79,0,0
rola,0,0,0,0,0,49,0
rolb,0,0,0,0,0,59,0
ror,0,0,66,1866,76,0,0
rora,0,0,0,0,0,46,0
rorb,0,0,0,0,0,56,0
rti,0,0,0,0,0,3B,0
rts,0,0,0,0,0,39,0
sba,0,0,0,0,0,10,0
sbca,82,92,A2,18A2,B2,0,0
sbcb,C2,D2,E2,18E2,F2,0,0
sec,0,0,0,0,0,OD,0
sei,0,0,0,0,0,OF,0
sev,0,0,0,0,0,OB,0
staa,0,97,A7,18A7,B7,0,0
stab,0,D7,E7,18E7,F7,0,0
std,0,DD,ED,18ED,FD,0,0
stop,0,0,0,0,0,CF,0
sts,0,9F,AF,18AF,BF,0,0
